Квартира	комментарий	Дата опломбировки		ХВС1							ГВС1							ХВС2							ГВС2						
			Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской №	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	Марка	Модель	Заводской Номер	Перв. показания	Дата проверки	№ пломбы	Дата след. Проверки	
11		01.06.2015	Метер	СВУ-15	1185223	14	01.07.2014	308376	01.07.2020	Метер	СВУ-15	1185132	12	01.07.2014	308278	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
12		16.01.2015	Метер	СВУ-15	1185211	0	01.07.2014	1043283	01.07.2020	Метер	СВУ-15	1185146	0	01.07.2014	1043286	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
13		05.02.2015	Метер	СВУ-15	1185175	0	01.07.2014	310061	01.07.2020	Метер	СВУ-15	1185178	0	01.07.2014	310062	01.07.2020	Метер	СВУ-15	1185250	0	01.07.2014	310063	01.07.2020	Метер	СВУ-15	118512214	0	01.07.2014	310064	01.07.2020	
14		30.03.2016	Метер	СВУ-15	1185212	107	01.06.2014	144916	01.06.2020	Метер	СВУ-15	118206	86	01.06.2014	144917	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
15		05.02.2015	Метер	СВУ-15	1185101	0	01.07.2014	311801	01.07.2020	Метер	СВУ-15	1185097	0	01.07.2014	311802	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
16		14.04.2015	Метер	СВУ-15	1185219	2	01.07.2014	232201	01.07.2020	Метер	СВУ-15	1185110	1	01.07.2014	232202	01.07.2020	Метер	СВУ-15	1185225	7	01.07.2014	232204	01.07.2020	Метер	СВУ-15	118525214	3	01.07.2014	232250	01.07.2020	
17		18.02.2015	Метер	СВУ-15	51133	0	01.07.2014	8226	01.07.2020	Метер	СВУ-15	51501	0	01.07.2014	8227	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
18		06.02.2015	Метер	СВУ-15	1185094	0	01.07.2014	268416	01.07.2020	Метер	СВУ-15	1185112	0	01.07.2014	268417	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
19		05.02.2015	Метер	СВУ-15	1185101	0	01.07.2014	311802	01.07.2020	Метер	СВУ-15	1185097	0	01.07.2014	311803	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
20		18.02.2015	Метер	СВУ-15	513914	1	01.07.2014	8371	01.07.2020	Метер	СВУ-15	519014	0	01.07.2014	8372	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
21	спросил в ВК		Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
22			Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
23		04.02.2015	Метер	СВУ-15	1173625	0	01.06.2014	1043204	01.06.2020	Метер	СВУ-15	1173488	0	01.06.2014	1043964	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
24		14.06.2017	Метер	СВУ-15	1173666	81	01.07.2014	339806	01.07.2020	Метер	СВУ-15	1185268	46	01.07.2014	339807	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
25		06.02.2015	Метер	СВУ-15	1185149	15	01.07.2014	238476	01.07.2020	Метер	СВУ-15	1185230	7	01.07.2014	268477	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
26		20.04.2015	Метер	СВУ-15	1185200	0	01.07.2014	232097	01.07.2020	Метер	СВУ-15	1185226	0	01.07.2014	232098	01.07.2020	Метер	СВУ-15	1185231	1	01.07.2014	232099	01.07.2020	Метер	СВУ-15	1185164	0	01.07.2014	2322100	01.07.2020	
27		07.07.2017	Метер	СВУ-15	1185173	37	15.03.2014	11922438	15.03.2020	Метер	СВУ-15	1173655	24	15.03.2014	11922450	15.03.2020	Метер	СВУ-15						Метер	СВУ-15						
28		05.02.2015	Метер	СВУ-15	1173620	2	01.07.2014	34881	01.07.2020	Метер	СВУ-15	1173656	1	01.07.2014	311882	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
29		06.02.2015	Метер	СВУ-15	1173646	0	01.07.2014	268391	01.07.2020	Метер	СВУ-15	1185247	0	01.07.2014	268392	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
30		06.02.2015	Метер	СВУ-15	1173623	8	01.07.2014	310116	01.07.2020	Метер	СВУ-15	1173603	5	01.07.2014	310117	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
31		16.01.2015	Метер	СВУ-15	1173489	1	01.07.2014	1043295	01.07.2020	Метер	СВУ-15	1173630	0	01.07.2014	1043298	01.07.2020	Метер	СВУ-15	1173678	0	01.07.2014	1043298	01.07.2020	Метер	СВУ-15	1173683	0	01.07.2014	1043261	01.07.2020	
32		04.02.2015	Метер	СВУ-15	1173668	6	01.06.2014	1043236	01.06.2020	Метер	СВУ-15	1173606	2	01.06.2014	1043002	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
33		04.02.2015	Метер	СВУ-15	1173576	0	06.07.2014	1043935	06.07.2020	Метер	СВУ-15	1173494	0	06.07.2014	1043929	06.07.2020	Метер	СВУ-15						Метер	СВУ-15						
34		13.06.2017	Метер	СВУ-15	1173596	10	01.07.2014	339836	01.07.2020	Метер	СВУ-15	1173597	5	01.07.2014	339837	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
35		30.05.2017	Метер	СВУ-15	1173582	8	01.07.2014	338823	01.07.2020	Метер	СВУ-15	1185267	1	01.07.2014	338824	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
36		22.04.2015	Метер	СВУ-15	1173569	23	01.07.2014	268187	01.07.2020	Метер	СВУ-15	1173579	20	01.07.2014	268188	01.07.2020	Метер	СВУ-15	1173577	3	01.07.2014	268189	01.07.2020	Метер	СВУ-15	1185272	0	01.07.2014	268190	01.07.2020	
37		16.01.2015	Метер	СВУ-15	1185188	2	01.07.2014	1043275	01.07.2020	Метер	СВУ-15	1185234	0	01.07.2014	1043278	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
38		06.02.2015	Метер	СВУ-15	1185244	1	01.07.2014	268346	01.07.2020	Метер	СВУ-15	1185255	0	01.07.2014	268347	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
39		16.04.2015	Метер	СВУ-15	1173573	0	01.07.2014	232163	01.07.2020	Метер	СВУ-15	1173565	0	01.07.2014	232164	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
40		14.06.2017	Метер	СВУ-15	1173593	28	01.07.2014	339812	01.07.2020	Метер	СВУ-15	1185265	19	01.07.2014	339813	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
41		13.03.2015	Метер	СВУ-15	1173586	0	01.07.2014	268151	01.07.2020	Метер	СВУ-15	1173599	0	01.07.2014	268152	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
42		13.06.2017	Метер	СВУ-15	1186516	127	01.07.2014	339936	01.07.2020	Метер	СВУ-15	1186518	95	01.07.2014	339937	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
43		26.06.2015	Метер	СВУ-15	1166697	11	01.07.2014	309064	01.07.2020	Метер	СВУ-15	1185239	4	01.07.2014	309062	01.07.2020	Метер	СВУ-15	1186495	15	01.07.2014	309254	01.07.2020	Метер	СВУ-15	1186482	12	01.07.2014	309255	01.07.2020	
44		18.02.2015	Метер	СВУ-15	1186500	0	01.07.2014	8366	01.07.2020	Метер	СВУ-15	1186483	0	01.07.2014	8367	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
45		24.10.2016	Мероком	МК-4	34759815	22	20.04.2016	462053	20.04.2022	Метер	СВУ-15	1186522	16	01.07.2014	462054	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
46		19.02.2015	Метер	СВУ-15	1186496	3	01.07.2014	268211	01.07.2020	Метер	СВУ-15	1186486	2	01.07.2014	268212	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
47		13.03.2015	Метер	СВУ-15	1186485	0	01.07.2014	268036	01.07.2020	Метер	СВУ-15	1186515	0	01.07.2014	268037	01.07.2020	Метер	СВУ-15	1166874	2	01.07.2014	268038	01.07.2020	Метер	СВУ-15	1186492	0	01.07.2014	268039	01.07.2020	
48		06.02.2015	Метер	СВУ-15	1186538	6	01.07.2014	232176	01.07.2020	Метер	СВУ-15	1166711	3	01.07.2014	232177	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
49		13.09.2017	Метер	СВУ-15	1187011	0	01.07.2014	338061	01.07.2020	Метер	СВУ-15	118654	0	01.07.2014	338062	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
50		18.02.2015	Метер	СВУ-15	1187623	0	01.07.2014	8201	01.07.2020	Метер	СВУ-15	1187623	0	01.07.2014	8202	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
51		18.02.2016	Метер	СВУ-15	1183489	58	01.07.2014	177409	01.07.2020	Метер	СВУ-15	1187025	7	01.07.2014	177410	01.07.2020	Метер	СВУ-15	1185134	11	01.07.2014	177407	01.07.2020	Метер	СВУ-15	11851227	11	01.07.2014	177408	01.07.2020	
52			Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
53		30.12.2014	Метер	СВУ-15	1187044	0	01.07.2014	1043057	01.07.2020	Метер	СВУ-15	1187042	0	01.07.2014	1043060	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
54		23.01.2015	Метер	СВУ-15	1187031	5	01.07.2014	1043906	01.07.2020	Метер	СВУ-15	1187009	1	01.07.2014	1043909	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
55		16.01.2015	Метер	СВУ-15	1186945	0	01.07.2014	1043219	01.07.2020	Метер	СВУ-15	1186881	0	01.07.2014	1043262	01.07.2020	Метер	СВУ-15	1185165	0	01.07.2014	1043207	01.07.2020	Метер	СВУ-15	1187050	0	01.07.2014	1043201	01.07.2020	
56		06.02.2015	Метер	СВУ-15	1621805	0	14.11.2014	268361	14.11.2020	Метер	СВУ-15	1503757	0	01.07.2014	268362	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
57		16.06.2015	Метер	СВУ-15	1183536	0	01.07.2014	309046	01.07.2020	Метер	СВУ-15	1183501	0	01.07.2014	306151	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
58		16.01.2015	Метер	СВУ-15	1187035	5	01.07.2014		01.07.2020	Метер	СВУ-15	1187018	1	01.07.2014	1043287	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
59		11.08.2017	Метер	СВУ-15	1187051	4	01.07.2014	338496	01.07.2020	Метер	СВУ-15	1183518	0	01.07.2014	338497	01.07.2020	Метер	СВУ-15	1187003	14	01.07.2014	338498	01.07.2020	Метер	СВУ-15	1183518	0	01.07.2014	338494	01.07.2020	
60		16.01.2015	Метер	СВУ-15	1187019	0	01.07.2014	1043237	01.07.2020	Метер	СВУ-15	1186898	0	01.07.2014	1043240	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
61		18.02.2015	Метер	СВУ-15	1183492	1	01.07.2014	8329	01.07.2020	Метер	СВУ-15	1183503	0	01.07.2014	8313	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
62		05.02.2015	Метер	СВУ-15	1187021	0	01.07.2014	311846	01.07.2020	Метер	СВУ-15	1187010	0	01.07.2014	311848	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
63		27.03.2015	Метер	СВУ-15	1187008	1	01.07.2014	232345	01.07.2020	Метер	СВУ-15	1187005	18	01.07.2014	232344	01.07.2020	Метер	СВУ-15	1183557	3	01.07.2014	232343	01.07.2020	Метер	СВУ-15	1160815	4	01.07.2014	232342	01.07.2020	
64		05.02.2015	Метер	СВУ-15	1187037	0	01.07.2014	311916	01.07.2020	Метер	СВУ-15	11830507	0	01.07.2014	311917	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
65		13.03.2015	Метер	СВУ-15	1166769	5	01.07.2014	268251	01.07.2020	Метер	СВУ-15	1166746	2	01.07.2014	268252	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
66		08.06.2017	Метер	СВУ-15	1166808	1	01.07.2014	339928	01.07.2020	Метер	СВУ-15	1166814	0	01.07.2014	339927	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
67		10.04.2015	Метер	СВУ-15	1166756	2	01.07.2014	232282	01.07.2020	Метер	СВУ-15	1166701	1	01.07.2014	2322283	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
68		18.02.2015	Метер	СВУ-15	66794	0	01.07.2014	8229	01.07.2020	Метер	СВУ-15	66820	0	01.07.2014	8230	01.07.2020	Метер	СВУ-15	66773	0	01.07.2014	8461	01.07.2020	Метер	СВУ-15	66739	0	01.07.2014	8462	01.07.2020	
69		23.01.2015	Метер	СВУ-15	1166733	1	01.07.2014	1043394	01.07.2020	Метер	СВУ-15	1166800	0	01.07.2014	1043386	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
70		06.02.2015	Метер	СВУ-15	1166792	0	01.07.2014	268411	01.07.2020	Метер	СВУ-15	1166804	0	01.07.2014	1268412	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
71		05.02.2015	Метер	СВУ-15	1166751	0	01.07.2014	311804	01.07.2020	Метер	СВУ-15	1166819	0	01.07.2014	311805	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
72		18.02.2015	Метер	СВУ-15	6777	10	01.04.2014	8374	01.04.2020	Метер	СВУ-15	6750	8	01.04.2014	8375	01.04.2020	Метер	СВУ-15						Метер	СВУ-15						
73		21.01.2015	Метер	СВУ-15	1173556	6	01.07.2014	831727	01.07.2020	Метер	СВУ-15	1173544	0	01.07.2014	831832	01.07.2020	Метер	СВУ-15	1166759	0	01.07.2014	831730	01.07.2020	Метер	СВУ-15	117358514	0	01.07.2014	831831	01.07.2020	
74		04.02.2015	Метер	СВУ-15	1173568	3	01.06.2014	1043265	01.06.2020	Метер	СВУ-15	1173550	1	01.06.2014	1043268	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
75		05.02.2015	Метер	СВУ-15	1173553	0	01.07.2014	311777	01.07.2020	Метер	СВУ-15	1173563	0	01.07.2014	311778	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
76		04.02.2015	Метер	СВУ-15	1182161	13	01.07.2014	1043902	01.07.2020	Метер	СВУ-15	1173483	5	17.06.2014	1043977	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
77		05.02.2015	Метер	СВУ-15	1146251	0	01.07.2014	311868	01.07.2020	Метер	СВУ-15	1146266	0	01.07.2014	1146266	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
78		15.08.2017	Метер	СВУ-15	1175903	22	15.03.2014	11922722	15.03.2020	Метер	СВУ-15	1146256	11	15.03.2014	11922723	15.03.2020	Метер	СВУ-15	1146210	39	15.03.2014	11922725	15.03.2020	Метер	СВУ-15	1146218	38	15.03.2014	11922724	15.03.2020	
79		28.01.2015	Метер	СВУ-15	1176059	6	17.06.2014	1679	17.06.2020	Метер	СВУ-15	1176062	1	17.06.2014	1159	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
80		08.06.2017	Метер	СВУ-15	1173047	275	17.06.2014	339851	17.06.2020	Метер	СВУ-15	1146232	148	17.06.2014	339852	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
81		06.02.2015	Метер	СВУ-15	1146129	0	17.06.2014	268401	17.06.2020	Метер	СВУ-15	1179140	0	17.06.2014	268402	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
82		30.12.2014	Метер	СВУ-15	1182108	0	17.06.2014	1043093	17.06.2020	Метер	СВУ-15	1146273	0	17.06.2014	1043096	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
83			Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
84		18.02.2015	Метер	СВУ-15	1125467	3	05.06.2014	268336	05.06.2020	Метер	СВУ-15	1125473	3	05.06.2014	268337	05.06.2020	Метер	СВУ-15						Метер	СВУ-15						
85			Метер	СВУ-15	1185163	0	01.07.2014	268321	01.07.2020	Метер	СВУ-15	1185114	0	01.07.2014	268322	01.07.2020	Метер	СВУ-15	1185180	0	01.07.2014	268323	01.07.2020	Метер	СВУ-15	1185103	0	01.07.2014	268324	01.07.2020	
86		16.01.2015	Метер	СВУ-15	1185156	0	01.07.2014	1043213	01.07.2020	Метер	СВУ-15	1185091	0	01.07.2014	1043210	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
87		13.07.2017	Метер	СВУ-15	1185106	176	01.07.2014	273367	01.07.2020	Метер	СВУ-15	1185222	86	01.07.2014	27368	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
88		29.09.2015	Метер	СВУ-15	1185113	5	01.07.2014	308136	01.07.2020	Метер	СВУ-15	1185144	3	01.07.2014	308160	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
89		05.02.2015	Метер	СВУ-15	1185102	0	01.07.2014	311853	01.07.2020	Метер	СВУ-15	1185100	0	01.07.2014	311854	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
90		23.01.2015	Метер	СВУ-15	1185092	0	01.07.2014	1043329	01.07.2020	Метер	СВУ-15	1185107	0	01.07.2014	1043332	01.07.2020	Метер	СВУ-15	1185120	0	01.07.2014	1043335	01.07.2020	Метер	СВУ-15	1185090	0	01.07.2014	1043338	01.07.2020	
91		23.01.2015	Метер	СВУ-15	1185124	8	01.07.2014	1043336	01.07.2020	Метер	СВУ-15	1185166	6	01.07.2014	1043339	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
92		25.04.2017	Метер	СВУ-15	1185154	0	01.06.2014	338946	01.06.2020	Метер	СВУ-15	1185174	0	01.06.2014	338947	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
93		16.01.2015	Метер	СВУ-15	1179138	1	17.06.2014	1043244	17.06.2020	Метер	СВУ-15	1179162	0	17.06.2014	1043241	17.06.2020	Метер	СВУ-15	1179191	0	17.06.2014	1043269	17.06.2020	Метер	СВУ-15	1143998	0	17.06.2014	1043272	17.06.2020	
94		26.08.2015	Метер	СВУ-15	1179253	20	17.06.2014	69499	17.06.2020	Метер	СВУ-15	1179107	19	17.06.2014	69498	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
95		06.02.2015	Метер	СВУ-15	1179139	0	17.06.2014	268419	17.06.2020	Метер	СВУ-15	1179249	0	17.06.2014	268420	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
96		06.02.2015	Метер	СВУ-15	1179193	0	17.06.2014	268386	17.06.2020	Метер	СВУ-15	1144049	0	17.06.2014	268387	17.06.2020	Метер	СВУ-15	1144057	0	17.06.2014	268388	17.06.2020	Метер	СВУ-15	1179115	0	17.06.2014	268389	17.06.2020	
97		04.02.2015	Метер	СВУ-15	1144014	0	17.06.2014	1043983	17.06.2020	Метер	СВУ-15	1179130	0	17.06.2014	1043986	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
98		26.12.2014	Метер	СВУ-15	1143940	0	17.06.2014	1043245	17.06.2020	Метер	СВУ-15	1179175	0	17.06.2014	1043248	17.06.2020	Метер	СВУ-15						Метер	СВУ-15						
99		23.01.2015	Метер	СВУ-15	1179137	0	17.06.2014	104	17.06.2020	Метер	СВУ-15	1179093	0	17.06.2014	104	17.06.2020	Метер	СВУ-15	1179129	0	17.06.2014	1043916	17.06.2020	Метер	СВУ-15	1179140	0	17.06.2014	1043303	17.06.2020	
100		18.02.2015	Метер	СВУ-15	1166740	8	01.07.2014	68311	01.07.2020	Метер	СВУ-15	1166801	2	01.07.2014	68312	01.07.2020	Метер	СВУ-15	1166793	7	01.07.2014	68314	01.07.2020	Метер	СВУ-15	1166740	2	01.07.2014	68312	01.07.2020	
101		18.02.2015	Метер	СВУ-15	1185248	2	01.07.2014	8281	01.07.2020	Метер	СВУ-15	1185248	10	01.06.2014	1043961	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
102		13.03.2015	Метер	СВУ-15	1185271	1	01.07.2014	268061	01.07.2020	Метер	СВУ-15	1173600	1	01.07.2014	268062	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
103		04.02.2015	Метер	СВУ-15	1166720	1	01.06.2014	1043990	01.06.2020	Метер	СВУ-15	1166753	0	01.06.2014	1043993	01.06.2020	Метер	СВУ-15						Метер	СВУ-15						
104		18.06.2015	Метер	СВУ-15	1166795	6	01.07.2014	309160	01.07.2020	Метер	СВУ-15	1300818	6	01.07.2014	309006	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
105		31.12.2014	Метер	СВУ-15	1166755	0	01.07.2014	1043212	01.07.2020	Метер	СВУ-15	1166716	0	01.07.2014	1043209	01.07.2020	Метер	СВУ-15	1166708	0	01.07.2014	1043220	01.07.2020	Метер	СВУ-15	1166703	0	01.07.2014	1043217	01.07.2020	
106			Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
107		06.02.2015	Метер	СВУ-15	1166885	0	01.07.2014	268441	01.07.2020	Метер	СВУ-15	1166754	0	01.07.2014	268442	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
108		18.02.2015	Метер	СВУ-15	1166734	0	01.07.2014	8394	01.07.2020	Метер	СВУ-15	66767	0	01.07.2014	8395	01.07.2020	Метер	СВУ-15	1166741	0	01.07.2014	8284	01.07.2020	Метер	СВУ-15	1166734	0	01.07.2014	8285	01.07.2020	
109		04.07.2017	Метер	СВУ-15	1173589	234	01.07.2014	339673	01.07.2020	Метер	СВУ-15	1185111	130	01.07.2014	339674	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
110		24.12.2014	Метер	СВУ-15	1185278	0	01.07.2014	1043154	01.07.2020	Метер	СВУ-15	1185159	0	01.07.2014	1043157	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
111		04.02.2015	Метер	СВУ-15	1185119	0	01.06.2014	1043260	01.06.2020	Метер	СВУ-15	1173572	0	01.06.2014	1043937	01.06.2020	Метер	СВУ-15	1185270	0	01.06.2014	1043953	01.06.2020	Метер	СВУ-15	1173591	0	01.06.2014	1043281	01.06.2020	
112		29.04.2017	Метер	СВУ-15	1185084	210	01.07.2014	144775	01.07.2020	Метер	СВУ-15	1173595	210	01.07.2014	144775	01.07.2020	Метер	СВУ-15						Метер	СВУ-15						
113		21.06.2017	Мероком	МК-4	45213815	73	03.08.2016	339996	03.08.2022	Метер	СВУ-15						Метер	СВУ-15						Метер	СВУ-15						
114		04.02.2015	Метер	СВУ-15	1185243	0	01.06.2014	1043918	01.06.2020	Метер	СВУ-15	1185264	0	01.06.2014	1043214	01.06.2020	Метер	СВУ-15	1185235	0	01.06.2014	1043003	01.06.2020	Метер	СВУ-15	1185240	0	01.06.2014	1043211	01.06.2020	
